country,country_code,population
Aruba,ABW,107310
Africa Eastern and Southern,AFE,731821393
Afghanistan,AFG,40578842
Africa Western and Central,AFW,497387180
Angola,AGO,35635029
Albania,ALB,2777689
Andorra,AND,79705
Arab World,ARB,471352066
United Arab Emirates,ARE,10074977
Argentina,ARG,45407904
Armenia,ARM,2969200
American Samoa,ASM,48342
Antigua and Barbuda,ATG,92840
Australia,AUS,26014399
Austria,AUT,9041851
Azerbaijan,AZE,10141756
Burundi,BDI,13321097
Belgium,BEL,11680210
Benin,BEN,13759501
Burkina Faso,BFA,22509038
Bangladesh,BGD,169384897
Bulgaria,BGR,6465097
Bahrain,BHR,1524693
"Bahamas, The",BHS,397538
Bosnia and Herzegovina,BIH,3204802
Belarus,BLR,9228071
Belize,BLZ,402733
Bermuda,BMU,64749
Bolivia,BOL,12077154
Brazil,BRA,210306415
Barbados,BRB,282318
Brunei Darussalam,BRN,455370
Bhutan,BTN,780914
Botswana,BWA,2439892
Central African Republic,CAF,5098039
Canada,CAN,38935934
Central Europe and the Baltics,CEB,100071871
Switzerland,CHE,8777088
Channel Islands,CHI,167215
Chile,CHL,19553036
China,CHN,1412175000
Cote d'Ivoire,CIV,30395002
Cameroon,CMR,27632771
"Congo, Dem. Rep.",COD,102396968
"Congo, Rep.",COG,6035104
Colombia,COL,51737944
Comoros,COM,834188
Cabo Verde,CPV,519741
Costa Rica,CRI,5081765
Caribbean small states,CSS,4497310
Cuba,CUB,11059820
Curacao,CUW,149996
Cayman Islands,CYM,71591
Cyprus,CYP,1331370
Czechia,CZE,10672118
Germany,DEU,83797985
Djibouti,DJI,1137096
Dominica,DMA,66826
Denmark,DNK,5903037
Dominican Republic,DOM,11230734
Algeria,DZA,45477389
East Asia & Pacific (excluding high income),EAP,2133560408
Early-demographic dividend,EAR,3470644834
East Asia & Pacific,EAS,2379648196
Europe & Central Asia (excluding high income),ECA,250840400
Europe & Central Asia,ECS,925061269
Ecuador,ECU,17823897
"Egypt, Arab Rep.",EGY,112618250
Euro area,EMU,348700885
Eritrea,ERI,3409447
Spain,ESP,47786102
Estonia,EST,1348840
Ethiopia,ETH,125384287
European Union,EUU,447703403
Fragile and conflict affected situations,FCS,1038158122
Finland,FIN,5556106
Fiji,FJI,919422
France,FRA,68065015
Faroe Islands,FRO,53927
"Micronesia, Fed. Sts.",FSM,112114
Gabon,GAB,2430747
United Kingdom,GBR,67604000
Georgia,GEO,3712502
Ghana,GHA,33149152
Gibraltar,GIB,37609
Guinea,GIN,14055137
"Gambia, The",GMB,2636470
Guinea-Bissau,GNB,2105529
Equatorial Guinea,GNQ,1803545
Greece,GRC,10436882
Grenada,GRD,116913
Greenland,GRL,56661
Guatemala,GTM,17847877
Guam,GUM,165180
Guyana,GUY,821637
High income,HIC,1398530204
"Hong Kong SAR, China",HKG,7346100
Honduras,HND,10463872
Heavily indebted poor countries (HIPC),HPC,893906294
Croatia,HRV,3855641
Haiti,HTI,11503606
Hungary,HUN,9605074
IBRD only,IBD,4928522353
IDA & IBRD total,IBT,6795050443
IDA total,IDA,1866528090
IDA blend,IDB,651895919
Indonesia,IDN,278830529
IDA only,IDX,1214632171
Isle of Man,IMN,84132
India,IND,1425423212
Ireland,IRL,5212836
"Iran, Islamic Rep.",IRN,89524246
Iraq,IRQ,44070551
Iceland,ISL,382003
Israel,ISR,9557500
Italy,ITA,59013667
Jamaica,JAM,2839144
Jordan,JOR,11256263
Japan,JPN,125124989
Kazakhstan,KAZ,20034609
Kenya,KEN,54252461
Kyrgyz Republic,KGZ,6975220
Cambodia,KHM,17201724
Kiribati,KIR,130469
St. Kitts and Nevis,KNA,46709
"Korea, Rep.",KOR,51672569
Kuwait,KWT,4589643
Latin America & Caribbean (excluding high income),LAC,585648822
Lao PDR,LAO,7559007
Lebanon,LBN,5744489
Liberia,LBR,5373294
Libya,LBY,7223805
St. Lucia,LCA,178781
Latin America & Caribbean,LCN,653104795
Least developed countries: UN classification,LDC,1134585604
Low income,LIC,591481496
Liechtenstein,LIE,39493
Sri Lanka,LKA,22181000
Lower middle income,LMC,3043358377
Low & middle income,LMY,6438272260
Lesotho,LSO,2286110
Late-demographic dividend,LTE,2324125644
Lithuania,LTU,2831639
Luxembourg,LUX,653103
Latvia,LVA,1879383
"Macao SAR, China",MAC,677300
St. Martin (French part),MAF,28870
Morocco,MAR,37329064
Monaco,MCO,38931
Moldova,MDA,2528654
Madagascar,MDG,30437261
Maldives,MDV,524106
"Middle East, North Africa, Afghanistan & Pakistan",MEA,782349366
Mexico,MEX,128613117
Marshall Islands,MHL,40077
Middle income,MIC,5846790764
North Macedonia,MKD,1831712
Mali,MLI,23072640
Malta,MLT,531113
Myanmar,MMR,53756787
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,716508657
Montenegro,MNE,623591
Mongolia,MNG,3433748
Northern Mariana Islands,MNP,46078
Mozambique,MOZ,32656246
Mauritania,MRT,4875637
Mauritius,MUS,1262523
Malawi,MWI,20568728
Malaysia,MYS,34695493
North America,NAC,373018004
Namibia,NAM,2889662
New Caledonia,NCL,287123
Niger,NER,25311973
Nigeria,NGA,223150896
Nicaragua,NIC,6730654
Netherlands,NLD,17700982
Norway,NOR,5457127
Nepal,NPL,29715436
Nauru,NRU,11801
New Zealand,NZL,5117100
OECD members,OED,1379097485
Oman,OMN,4730226
Other small states,OSS,12699005
Pakistan,PAK,243700667
Panama,PAN,4400773
Peru,PER,33475438
Philippines,PHL,113964338
Palau,PLW,17759
Papua New Guinea,PNG,10203169
Poland,POL,36821749
Pre-demographic dividend,PRE,1051201551
Puerto Rico (US),PRI,3220137
"Korea, Dem. People's Rep.",PRK,26328845
Portugal,PRT,10434332
Paraguay,PRY,6760464
West Bank and Gaza,PSE,5043612
Pacific island small states,PSS,2656049
Post-demographic dividend,PST,1117926537
French Polynesia,PYF,280378
Qatar,QAT,2657333
Romania,ROU,19048502
Russian Federation,RUS,144236933
Rwanda,RWA,13651030
South Asia,SAS,1648009565
Saudi Arabia,SAU,32175224
Sudan,SDN,49383346
Senegal,SEN,17651103
Singapore,SGP,5637022
Solomon Islands,SLB,781066
Sierra Leone,SLE,8276807
El Salvador,SLV,6280319
San Marino,SMR,33755
Somalia,SOM,17801897
Serbia,SRB,6664449
Sub-Saharan Africa (excluding high income),SSA,1103704408
South Sudan,SSD,11021177
Sub-Saharan Africa,SSF,1229208573
Small states,SST,19852364
Sao Tome and Principe,STP,226305
Suriname,SUR,623164
Slovak Republic,SVK,5431752
Slovenia,SVN,2112076
Sweden,SWE,10486941
Eswatini,SWZ,1218917
Sint Maarten (Dutch part),SXM,42139
Seychelles,SYC,119878
Syrian Arab Republic,SYR,22462173
Turks and Caicos Islands,TCA,45847
Chad,TCD,18455316
East Asia & Pacific (IDA & IBRD countries),TEA,2107261123
Europe & Central Asia (IDA & IBRD countries),TEC,461268322
Togo,TGO,9089738
Thailand,THA,71735329
Tajikistan,TJK,10182222
Turkmenistan,TKM,7230193
Latin America & the Caribbean (IDA & IBRD countries),TLA,637837815
Timor-Leste,TLS,1369295
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,711465045
Tonga,TON,105042
South Asia (IDA & IBRD),TSA,1648009565
Sub-Saharan Africa (IDA & IBRD countries),TSS,1229208573
Trinidad and Tobago,TTO,1365805
Tunisia,TUN,12119334
Turkiye,TUR,84979913
Tuvalu,TUV,9992
Tanzania,TZA,64711821
Uganda,UGA,47312719
Ukraine,UKR,41048766
Upper middle income,UMC,2803432387
Uruguay,URY,3390913
United States,USA,334017321
Uzbekistan,UZB,34938955
St. Vincent and the Grenadines,VCT,102046
"Venezuela, RB",VEN,28213017
British Virgin Islands,VGB,38319
Virgin Islands (U.S.),VIR,105413
Viet Nam,VNM,99680655
Vanuatu,VUT,313046
World,WLD,7990399768
Samoa,WSM,215261
Kosovo,XKX,1768096
"Yemen, Rep.",YEM,38222876
South Africa,ZAF,62378410
Zambia,ZMB,20152938
Zimbabwe,ZWE,16069056
